Date,Open,High,Low,Close,Adj Close,Volume
2/28/2020,117.519997,118.489998,112.660004,116.110001,104.310081,45931400
3/2/2020,116.629997,121.580002,114.459999,121.519997,109.170265,27355400
3/3/2020,120.970001,122.949997,116.239998,116.959999,105.073677,32547700
3/4/2020,118.330002,120.190002,114.699997,119.849998,107.669983,25795900
3/5/2020,115.669998,116.43,112.580002,113.970001,102.387558,25025600
3/6/2020,106.260002,110.32,105.019997,108.080002,97.096123,38159400
3/9/2020,96.57,99.230003,93,93.440002,83.94397,40352000
3/10/2020,99,101.279999,94.580002,100.699997,90.466156,31102700
3/11/2020,97.699997,100.050003,94.550003,95.959999,86.207863,38127000
3/12/2020,89.589996,96.959999,86.32,88.050003,79.101738,49725200
3/13/2020,95.989998,103.989998,92,103.910004,93.34993,38543300
3/16/2020,85.199997,93.980003,84.550003,88.360001,79.380234,38589700
3/17/2020,90.889999,97.440002,87.5,93.760002,84.231438,35239800
3/18/2020,87.669998,90.790001,80.360001,83.889999,75.364502,41525600
3/19/2020,81.559998,88.110001,76.910004,85.300003,76.631195,32175100
3/20/2020,86.300003,89.459999,82.480003,83.5,75.014137,30150800
3/23/2020,82.68,83.75,78.089996,79.029999,70.998398,32536600
3/24/2020,84.900002,90.099998,82.900002,88.43,79.443108,34363200
3/25/2020,89.239998,95.150002,84.540001,91.730003,82.407753,38111700
3/26/2020,94.080002,98.57,93.540001,98.120003,88.148346,29826300
3/27/2020,93.190002,94.839996,90.550003,91.129997,81.868713,30041500
3/30/2020,90.650002,94.089996,89.300003,93.5,83.997856,21656900
3/31/2020,92.050003,94.169998,89.339996,90.029999,80.880516,23379300
4/1/2020,85.099998,86.559998,83.25,84.360001,75.786728,28029600
4/2/2020,83.510002,87.910004,82.959999,87.510002,78.6166,24018000
4/3/2020,86,87.480003,82.769997,84.050003,76.292877,21199400
4/6/2020,88.989998,90.989998,87.699997,89.459999,81.203583,26820800
4/7/2020,94.449997,94.5,90.379997,90.639999,82.274666,22563800
4/8/2020,92.099998,94.860001,90.550003,94.300003,85.596893,22903300
4/9/2020,96.919998,104.389999,96.889999,102.760002,93.276085,42055900
4/13/2020,103.110001,103.110001,97.300003,98.190002,89.127869,26911900
4/14/2020,101.019997,102,93.639999,95.5,86.686127,46151300
4/15/2020,91.150002,92.029999,90.129997,90.790001,82.41082,30118600
4/16/2020,90.230003,90.57,87.050003,87.330002,79.270157,32449600
4/17/2020,92,95.699997,90.959999,95.18,86.395676,30191900
4/20/2020,92.470001,94.709999,90.459999,91.709999,83.245926,23679400
4/21/2020,88.620003,91.379997,88.330002,89.050003,80.831429,23035000
4/22/2020,90.690002,91.870003,89.18,89.339996,81.09465,16662400
4/23/2020,89.739998,91.279999,89.260002,89.389999,81.140038,16638800
4/24/2020,90.639999,91.099998,88.489998,90.709999,82.338219,15809200
4/27/2020,91.940002,95.629997,91.540001,94.620003,85.887352,22870200
4/28/2020,97.809998,98.360001,95.029999,95.290001,86.495514,20238900
4/29/2020,99.080002,99.449997,97.269997,97.860001,88.828316,20462600
4/30/2020,95.599998,96.839996,94.550003,95.760002,86.922142,19127600
5/1/2020,93.5,93.739998,91.839996,93.25,84.643791,18547700
5/4/2020,92.019997,92.669998,90.800003,92.139999,83.636238,15725900
5/5/2020,93.650002,94.209999,91.900002,92,83.509155,18064100
5/6/2020,92.160004,92.760002,89.93,90.269997,81.938828,20978000
5/7/2020,91.339996,92.910004,90.580002,91.209999,82.792076,16771900
5/8/2020,92.800003,94.080002,92.110001,92.699997,84.144554,20487800
5/11/2020,91.110001,91.110001,89.330002,89.970001,81.666504,31907600
5/12/2020,90.150002,90.790001,86.900002,87.029999,78.997849,27962900
5/13/2020,86.379997,86.860001,83.400002,84.029999,76.274727,35451600
